exchange,stockCode,stockSymbol,companyName
NSE,4525,DYNAMATECH,Dynamatic Technologies
NSE,10417,DYCL,Dynamic Cables
NSE,6079,DYNAMIC,DYNAMIC SRVCS & SEC LTD
NSE,21314,DYNPRO,Dynemic Products
NSE,8940,E2E,E2E Networks
NSE,9769,EASTSILK,Eastern Silk Industries
NSE,2792,EASEMYTRIP,Easy Trip Planners
NSE,15179,ECLERX,eClerx Services
NSE,15119,EDELWEISS,Edelweiss Financial Services
NSE,910,EICHERMOT,Eicher Motors
NSE,916,EIDPARRY,EID Parry
NSE,15399,EIHAHOTELS,EIH Associated Hotels
NSE,919,EIHOTEL,EIH Hotels
NSE,7915,EIMCOELECO,Eimco Elecon
NSE,8953,ELDEHSG,Eldeco Housing & Industries
NSE,13643,ELECON,Elecon Engineering Company
NSE,18116,ELECTCAST,ELECTCAST WARRANTS
NSE,11530,EMIL,Electronics Mart India
NSE,928,ELECTCAST,Electrosteel Castings
NSE,14902,ELECTHERM,Electrotherm
NSE,937,ELGIEQUIP,Elgi Equipments
NSE,24924,ELGIRUBCO,Elgi Rubber Company
NSE,13423,ELIN,ELIN ELECTRONICS LIMITED
NSE,13517,EMAMILTD,Emami
NSE,10074,EMAMIPAP,Emami Paper Mills
NSE,19277,EMAMIREAL,Emami Realty
NSE,13421,EMKAY,Emkay Global Financial Services
NSE,10253,EMKAYTOOLS,Emkay Tap & Cut. Tool
NSE,18142,EMMBI,Emmbi Industries
NSE,9756,EMUDHRA,eMudhra
NSE,18822,ENDURANCE,Endurance Technologies
NSE,15049,ENERGYDEV,Energy Development Company
NSE,4907,ENGINERSIN,Engineers India
NSE,13192,ENIL,Entertainment Network India
NSE,913,EQUITASBNK,Equitas Small Finance Bank
NSE,21154,ERIS,Eris Lifesciences
NSE,20080,EROSMEDIA,Eros International Media
NSE,955,ESABINDIA,ESAB India
NSE,958,ESCORTS,Escorts Kubota
NSE,25638,ESSARSHPNG,Essar Shipping
NSE,981,EPL,Essel Propack
NSE,17084,ESFL,Essen Specialty Films
NSE,24265,ESTER,Ester Industries
NSE,9750,ETHOSLTD,Ethos
NSE,6040,EIFFL,EURO (I) FRESH FOODS LTD
NSE,7331,EUROBOND,EURO PANEL PRODUCTS LTD
NSE,8886,EUROTEXIND,Eurotex Industries and Exports
NSE,11782,EVEREADY,Eveready Industries India
NSE,993,EVERESTIND,Everest Industries
NSE,13091,EKC,Everest Kanto Cylinder
NSE,11471,EXCELINDUS,Excel Industries
NSE,17380,EXCEL,Excel Realty N Infra
NSE,676,EXIDEIND,Exide Industries
NSE,17486,EXPLEOSOL,Expleo Solutions
NSE,5352,EXXARO,EXXARO TILES LIMITED
NSE,1614,FAIRCHEMOR,Fairchem Organics
NSE,4898,FDC,Fairdeal Corporation
NSE,12000,FAZE3Q,Faze Three
NSE,11999,FCSSOFT,FCS Software Solutions
NSE,1023,FEDERALBNK,Federal Bank
NSE,1190,FMGOETZE,Federal Mogul Goetze
NSE,573,FELIX,FELIX INDUSTRIES LTD.
NSE,1008,FACT,Fertilisers & Chemical Travancore
NSE,8159,FIBERWEB,Fiberweb India
NSE,9858,FIDEL,Fidel Softech
NSE,13710,FIEMIND,Fiem Industries
NSE,24532,FILATEX,Filatex India
NSE,3744,FINEORG,Fine Organic Industries
NSE,6198,FCL,Fineotex Chemical
NSE,6579,FINOPB,Fino Payments Bank
NSE,1038,FINCABLES,Finolex Cables
NSE,1041,FINPIPE,Finolex Industries
NSE,14304,FSL,Firstsource Solutions
NSE,12032,FIVESTAR,Five Star Business Finance
NSE,25512,FLEXITUFF,Flexituff Ventures
NSE,7385,FOCE,FOCE INDIA LIMITED
